R2 Bucket: green-bond-storage
Prefix: prospektus/
Generated: 2026-03-11

| #   | Folder                                                                           | Files | Size (MB) |
|  99 | 20240626_BIIF_Penyampaian Bukti Iklan Penyampaian Informasi Tambahan dan_a       |     3 |      7.91 |
| 100 | 20240626_TRIM_Penyampaian Prospektus                                             |     1 |      0.16 |
| 101 | 20240628_BCAP_Penyampaian Prospektus                                             |     1 |      0.21 |
| 102 | 20240628_CNAF_Penyampaian Prospektus                                             |     3 |      8.50 |
| 103 | 20240628_HIFI_Penyampaian Prospektus                                             |     2 |     10.93 |
| 104 | 20240701_ADHI_Penyampaian Prospektus                                             |     1 |      0.36 |
| 105 | 20240701_AGRS_Penyampaian Bukti Iklan Penyampaian Prospektus PUT VI PT Ban       |     1 |      0.40 |
| 106 | 20240701_PRTL_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      0.85 |
| 107 | 20240701_PRTL_Surat Pengantar Bukti Pengumuman Prospektus Ringkas Penawara       |     1 |      0.79 |
| 108 | 20240702_BBYB_Penyampaian Prospektus                                             |     2 |      1.11 |
| 109 | 20240702_BTPN_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     4 |      2.46 |
| 110 | 20240703_BBYB_Penyampaian Bukti Iklan Publikasi Prospektus PMHMETD VII PT        |     1 |      0.20 |
| 111 | 20240705_APAI_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     1 |      1.05 |
| 112 | 20240708_BRPT_Penyampaian Prospektus                                             |     1 |      0.86 |
| 113 | 20240712_BWPT_Penyampaian Bukti Iklan Informasi tambahan dan_atau perbaika       |     1 |      6.85 |
| 114 | 20240712_BWPT_Penyampaian Bukti Iklan bukti iklan prospektus ringkas             |     3 |      1.15 |
| 115 | 20240730_MSIE_Permohonan Perubahan Informasi Jadwal Perdagangan Waran dan        |     1 |      0.24 |
| 116 | 20240909_HRTA_Penyampaian Dokumen Informasi Tambahan serta Perubahan dan_a       |     2 |      0.55 |
| 117 | 20240910_INKP_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     2 |      1.55 |
| 118 | 20240910_INKP_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      2.03 |
| 119 | 20240910_LPPI_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan       |     2 |      0.93 |
| 120 | 20240910_LPPI_Prospektus Ringkas Obligasi Berkelanjutan III Lontar Papyrus       |     2 |      1.19 |
| 121 | 20240911_HRTA_Penyampaian Bukti Iklan Perubahan dan_atau Tambahan Informas       |     2 |      0.64 |
| 122 | 20240913_ASDF_Penyampaian Prospektus                                             |     1 |      0.53 |
| 123 | 20240913_UNKNOWN_Penyampaian Perubahan Prospektus dan_atau Term Sheet Structu     |     5 |      6.02 |
| 124 | 20240919_BFIN_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Pemberitahua       |     4 |      0.59 |
| 125 | 20240919_BFIN_Penyampaian Prospektus                                             |     1 |      3.57 |
| 126 | 20240923_HRTA_Penyampaian Dokumen Perubahan dan_atau Tambahan Informasi at       |     2 |      0.67 |
| 127 | 20240923_XPFT_Penyampaian Prospektus_Perubahan Prospektus                        |     1 |      1.21 |
| 128 | 20240924_ADMF_Penyampaian Prospektus                                             |     3 |      1.35 |
| 129 | 20240924_ADMF_Penyampaian Prospektus (KOREKSI)                                   |     6 |      2.70 |
| 130 | 20240925_HRTA_Penyampaian Bukti Iklan Perubahan dan_atau Tambahan Informas       |     2 |      0.45 |
| 131 | 20240928_XMGB_Penyampaian Prospektus_Perubahan Prospektus                        |     3 |      1.44 |
| 132 | 20241001_INKP_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     2 |      1.95 |
| 133 | 20241001_LPPI_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      1.34 |
| 134 | 20241021_UNKNOWN_Keterbukaan Informasi terkait Prospektus Waran Terstruktur 2     |     1 |      2.64 |
| 135 | 20241024_TUFI_Penyampaian Prospektus                                             |     3 |      1.54 |
| 136 | 20241025_TAFS_Penyampaian Prospektus                                             |     1 |      0.42 |
| 137 | 20241029_DSSA_Penyampaian Prospektus                                             |     2 |      1.12 |
| 138 | 20241030_GMFI_Penyampaian Prospektus                                             |     1 |      0.49 |
| 139 | 20241101_KAII_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena       |     1 |      0.53 |
| 140 | 20241104_KAII_Penyampaian Prospektus Ringkas PUB II KAI Tahun 2024              |     1 |      3.93 |
| 141 | 20241112_TBIG_Penyampaian Prospektus                                             |     2 |      0.71 |
| 142 | 20241113_PTRO_Penyampaian Prospektus                                             |     2 |      8.12 |
| 143 | 20241114_KAII_Penyampaian Bukti Publikasi Informasi Tambahan dan_atau Perb       |     1 |      0.41 |
| 144 | 20241119_SMII_Penyampaian Prospektus                                             |     2 |      0.85 |
| 145 | 20241120_HRTA_Penyampaian Dokumen Perubahan dan_atau Tambahan Informasi at       |     2 |      3.64 |
| 146 | 20241121_DSSA_Penyampaian Prospektus                                             |     2 |      1.14 |
| 147 | 20241121_FMFN_Penyampaian Bukti Iklan Prospektus Ringkas                         |     3 |      7.86 |
| 148 | 20241122_HRTA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Perubahan da       |     2 |      0.40 |
| 149 | 20241129_ADRO_Penyampaian Prospektus                                             |     1 |      0.94 |
