R2 Bucket: green-bond-storage
Prefix: prospektus/
Generated: 2026-03-11

| #   | Folder                                                                           | Files | Size (MB) |
| 272 | 20250624_TRIM_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     1 |      0.90 |
| 273 | 20250624_WIFI_Penyampaian Prospektus                                             |     1 |      4.11 |
| 274 | 20250625_BBRI_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |     12.02 |
| 275 | 20250625_NISP_Publikasi Informasi Tambahan dan atau Perbaikan atas Prospek       |     4 |      5.27 |
| 276 | 20250626_BBNI_Penyampaian Bukti Iklan Penyampaian Perubahan dan_atau Infor       |     1 |      1.58 |
| 277 | 20250626_DART_Penyampaian Prospektus                                             |     2 |      0.85 |
| 278 | 20250626_FILM_Penyampaian Prospektus                                             |     2 |      3.26 |
| 279 | 20250626_SMAR_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     1 |      5.67 |
| 280 | 20250626_TUFI_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     3 |      2.30 |
| 281 | 20250626_TUFI_Penyampaian Prospektus                                             |     4 |     14.83 |
| 282 | 20250630_BUMI_Penyampaian Bukti Iklan Bukti Iklan Informasi Tambahan dan_a       |     2 |      3.46 |
| 283 | 20250630_BUMI_Publikasi Informasi Tambahan dan_atau Perbaikan atas Prospek       |     1 |      0.49 |
| 284 | 20250630_FILM_Penyampaian Prospektus (KOREKSI)                                   |     2 |      3.27 |
| 285 | 20250630_IMFI_Penyampaian Bukti Iklan Prospektus Ringkas PUB VI Tahap I Ta       |     3 |     10.23 |
| 286 | 20250630_TBIG_Informasi Tambahan Dan_Atau Perbaikan Atas Prospektus Ringka       |     1 |      1.10 |
| 287 | 20250630_TBIG_Penyampaian Bukti Iklan Informasi Tambahan Dan_Atau Perbaika       |     3 |      1.25 |
| 288 | 20250701_CARE_Penyampaian Prospektus                                             |     3 |      0.95 |
| 289 | 20250701_PYFA_Informasi Tambahan atas Prospektus Ringkas atas Penawaran Um       |     1 |      0.61 |
| 290 | 20250701_RMKE_Penyampaian Bukti Iklan Bukti Iklan Perbaikan Dan_Atau Tamba       |     1 |      0.30 |
| 291 | 20250702_ADMF_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     2 |      0.86 |
| 292 | 20250702_MINA_Penyampaian Prospektus                                             |     2 |      3.75 |
| 293 | 20250702_SMDR_Penyampaian Prospektus (KOREKSI)                                   |     1 |      0.71 |
| 294 | 20250702_TOWR_Penyampaian Prospektus                                             |     4 |      3.58 |
| 295 | 20250703_CARE_Penyampaian Bukti Iklan Penyampaian informasi tambahan serta       |     2 |      0.40 |
| 296 | 20250703_TRIM_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     1 |      6.40 |
| 297 | 20250721_COCO_Prospektus Ringkas Dalam Rangka Penawaran Umum Terbatas Kepa       |     1 |      0.26 |
| 298 | 20250722_COCO_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Prospektus R       |     1 |      0.34 |
| 299 | 20250910_BUVA_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me       |     1 |      0.79 |
| 300 | 20250915_IMJS_Prospektus Ringkas Penawaran Umum Terbatas IV Kepada Para Pe       |     1 |      0.85 |
| 301 | 20250916_BSDE_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      0.72 |
| 302 | 20250916_IMJS_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Pengumuman P       |     1 |      0.40 |
| 303 | 20250918_DSSA_Penyampaian Prospektus                                             |     2 |      1.26 |
| 304 | 20250919_CSIS_Publikasi Prospektus Ringkas Penambahan Modal Dengan Memberi       |     2 |      1.40 |
| 305 | 20250922_CSIS_Penyampaian Bukti Iklan Publikasi Prospektus Ringkas Penamba       |     1 |      0.38 |
| 306 | 20250923_BANK_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran       |     2 |      0.79 |
| 307 | 20250923_TRIM_Penyampaian Prospektus                                             |     2 |      0.66 |
| 308 | 20250926_INET_Penyampaian Prospektus                                             |     2 |      1.11 |
| 309 | 20250926_PNMP_Penyampaian Prospektus                                             |     2 |      0.85 |
| 310 | 20251001_COCO_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     1 |      0.38 |
| 311 | 20251001_COCO_Tambahan Informasi dan_atau Perbaikan Atas Informasi Tambaha       |     1 |      0.52 |
| 312 | 20251001_CUAN_Penyampaian Prospektus                                             |     1 |      0.86 |
| 313 | 20251002_COCO_Tambahan Informasi dan_atau Perbaikan Atas Informasi Tambaha       |     1 |      0.76 |
| 314 | 20251003_TRIM_Penyampaian Prospektus                                             |     2 |      1.07 |
| 315 | 20251006_ADMF_Penyampaian Prospektus                                             |     3 |      0.92 |
| 316 | 20251006_DSSA_Penyampaian Prospektus                                             |     2 |      1.12 |
| 317 | 20251006_SMMA_Penyampaian Prospektus                                             |     2 |      0.90 |
| 318 | 20251006_TRIM_Penyampaian Prospektus                                             |     1 |      0.10 |
| 319 | 20251009_ARMA_Penyampaian Bukti Iklan Pengumuman Prospektus Ringkas dalam        |     3 |      1.85 |
| 320 | 20251009_ASDF_Penyampaian Prospektus                                             |     2 |      0.60 |
| 321 | 20251013_PNMP_Penyampaian Prospektus                                             |     2 |      0.71 |
| 322 | 20251015_PACK_Penyampaian Prospektus                                             |     1 |      1.11 |
| 323 | 20251020_ASDF_Penyampaian Prospektus                                             |     2 |      0.74 |
| 324 | 20251020_CUAN_Penyampaian Prospektus                                             |     2 |      1.45 |
| 325 | 20251020_IIFF_Penyampaian Prospektus                                             |     2 |      1.01 |
| 326 | 20251021_TAFS_Penyampaian Prospektus                                             |     1 |      0.62 |
| 327 | 20251023_WISL_Penyampaian Prospektus                                             |     1 |      0.21 |
| 328 | 20251023_WISL_Penyampaian Prospektus (KOREKSI)                                   |     2 |      0.66 |
| 329 | 20251024_PPGD_Penyampaian Prospektus                                             |     2 |      0.89 |
| 330 | 20251027_ARMA_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perubaha       |     2 |      1.43 |
| 331 | 20251028_BUVA_Penyampaian Prospektus                                             |     1 |      2.43 |
| 332 | 20251031_CSIS_Penyampaian Bukti Iklan Publikasi Prospektus Ringkas Penamba       |     2 |      0.75 |
| 333 | 20251031_CSIS_Publikasi Prospektus Ringkas Penambahan Modal Dengan Memberi       |     2 |      1.46 |
| 334 | 20251103_GMFI_Penyampaian Prospektus                                             |     2 |      1.03 |
| 335 | 20251103_WISL_Penyampaian Prospektus (KOREKSI)                                   |     2 |      0.75 |
| 336 | 20251105_SMII_Penyampaian Prospektus                                             |     2 |      1.09 |
| 337 | 20251106_PPGD_Penyampaian Prospektus                                             |     2 |      0.74 |
| 338 | 20251106_TBIG_Penyampaian Prospektus                                             |     2 |      1.48 |
| 339 | 20251107_TAFS_Penyampaian Prospektus                                             |     1 |      0.44 |
| 340 | 20251110_LPPI_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan       |     2 |      1.36 |
| 341 | 20251113_BALI_Penyampaian Prospektus                                             |     1 |      0.62 |
| 342 | 20251118_TRIM_Penyampaian Prospektus                                             |     2 |      1.08 |
| 343 | 20251119_TBIG_Penyampaian Prospektus                                             |     2 |      1.79 |
| 344 | 20251121_BBTN_Penyampaian Prospektus                                             |     1 |      0.99 |
| 345 | 20251124_BBTN_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     1 |      1.04 |
| 346 | 20251128_TBIG_Penyampaian Prospektus                                             |     1 |      0.20 |
| 347 | 20251201_BSDE_Penyampaian Prospektus                                             |     1 |      1.63 |
| 348 | 20251201_POLI_Penyampaian Prospektus                                             |     1 |      0.73 |
| 349 | 20251202_IMJS_Penyampaian Prospektus                                             |     1 |      0.69 |
| 350 | 20251203_LPPI_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      1.15 |
| 351 | 20251203_LPPI_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      0.96 |
| 352 | 20251203_MYOR_Penyampaian Prospektus                                             |     1 |      0.51 |
| 353 | 20251205_BBTN_Penyampaian Bukti Iklan Perubahan dan_atau Tambahan Informas       |     2 |      0.73 |
| 354 | 20251205_BWPT_Penyampaian Prospektus                                             |     4 |      1.17 |
| 355 | 20251209_BWPT_Penyampaian Prospektus                                             |     4 |      0.91 |
| 356 | 20251211_BSDE_Penyampaian Prospektus                                             |     1 |      1.25 |
| 357 | 20251211_PANI_Penyampaian Prospektus                                             |     1 |      5.40 |
| 358 | 20251212_CSIS_Publikasi Prospektus dan Prospektus Ringkas dalam rangka Pen       |     3 |      3.50 |
| 359 | 20251212_GMFI_Penyampaian Prospektus                                             |     2 |      1.12 |
| 360 | 20251215_CSIS_Penyampaian Bukti Iklan Publikasi Prospektus dan Prospektus        |     2 |      0.54 |
| 361 | 20251215_CSIS_Publikasi Prospektus dan Prospektus Ringkas dalam rangka Pen       |     4 |      4.39 |
| 362 | 20251215_PNMP_Penyampaian Prospektus                                             |     2 |      0.87 |
| 363 | 20251216_CSIS_Publikasi Prospektus dan Prospektus Ringkas dalam rangka Pen       |     4 |      3.90 |
| 364 | 20251218_TPIA_Penyampaian Prospektus                                             |     1 |      0.37 |
| 365 | 20251219_MYOR_Penyampaian Prospektus                                             |     1 |      0.29 |
| 366 | 20251219_XSPI_Keterbukaan Informasi terkait Informasi atas Fakta Material       |     2 |     10.24 |
| 367 | 20251223_INET_Penyampaian Prospektus                                             |     2 |      0.94 |
| 368 | 20251224_BWPT_Penyampaian Prospektus                                             |     4 |      1.28 |
| 369 | 20251224_ENRG_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta       |     1 |      5.65 |
| 370 | 20251229_INET_Penyampaian Prospektus (KOREKSI)                                   |     5 |      7.19 |
| 371 | 20251230_BWPT_Penyampaian Prospektus                                             |     4 |      0.44 |
| 372 | 20251231_BANK_Penyampaian Prospektus                                             |     2 |      0.73 |
| 373 | 20260102_PACK_Penyampaian Prospektus                                             |     1 |      1.12 |
| 374 | 20260114_IRSX_Penyampaian Prospektus                                             |     2 |      0.78 |
| 375 | 20260120_SMAR_Penyampaian Prospektus                                             |     2 |      0.91 |
| 376 | 20260122_INET_Penyampaian Prospektus                                             |     2 |      1.01 |
| 377 | 20260123_CNAF_Penyampaian Prospektus                                             |     2 |      0.78 |
| 378 | 20260123_HIFI_Penyampaian Prospektus                                             |     2 |      0.95 |
| 379 | 20260127_TBIG_Penyampaian Prospektus                                             |     2 |      1.10 |
| 380 | 20260129_JSMR_Penyampaian Prospektus                                             |     2 |      0.80 |
| 381 | 20260130_SANF_Penyampaian Prospektus                                             |     2 |      0.52 |
| 382 | 20260202_SMAR_Penyampaian Prospektus                                             |     1 |      0.54 |
| 383 | 20260203_WOMF_Penyampaian Prospektus                                             |     2 |      1.42 |
| 384 | 20260204_HIFI_Penyampaian Prospektus                                             |     2 |      0.96 |
| 385 | 20260204_IMFI_Penyampaian Prospektus                                             |     2 |      1.68 |
| 386 | 20260204_TPIA_Penyampaian Prospektus                                             |     2 |      0.84 |
| 387 | 20260206_FIFA_Penyampaian Prospektus                                             |     2 |      0.77 |
| 388 | 20260209_ADMF_Penyampaian Prospektus                                             |     3 |      0.94 |
| 389 | 20260210_TBIG_Penyampaian Prospektus                                             |     1 |      0.27 |
| 390 | 20260211_CNAF_Penyampaian Prospektus                                             |     2 |      1.17 |
| 391 | 20260211_HIFI_Penyampaian Prospektus                                             |     2 |      0.45 |
| 392 | 20260211_PALM_Penyampaian Prospektus                                             |     2 |      1.41 |
| 393 | 20260212_IMFI_Penyampaian Prospektus                                             |     2 |      1.44 |
| 394 | 20260213_BABY_Penyampaian Prospektus                                             |     1 |      1.49 |
| 395 | 20260218_TRIM_Penyampaian Prospektus                                             |     2 |      1.35 |
| 396 | 20260223_ADMF_Penyampaian Prospektus                                             |     3 |      1.60 |
| 397 | 20260223_WISL_Penyampaian Prospektus                                             |     2 |      1.12 |
| 398 | 20260223_WOMF_Penyampaian Prospektus                                             |     2 |      1.38 |
| 399 | 20260225_INKP_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan       |     2 |      3.93 |
| 400 | 20260227_BBRI_Penyampaian Prospektus                                             |     2 |      1.20 |
| 401 | 20260302_BANK_Penyampaian Prospektus                                             |     1 |      0.86 |
| 402 | 20260303_TRIM_Penyampaian Prospektus                                             |     2 |      1.31 |
| 403 | 20260304_WISL_Penyampaian Prospektus                                             |     2 |      0.77 |
|-----|----------------------------------------------------------------------------------|-------|-----------|
|     | TOTAL                                                                            |   768 |    767.79 |

403 folders total
