Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
519,SMFP08BCN1,Obligasi Berkelanjutan VIII Sarana Multigriya Finansial Tahap I Tahun 2025 Seri B,SMFP,2028-07-08T07:00:00,idAAA,115500000000.0
553,SMII03BCN4,Obligasi Berkelanjutan III Sarana Multi Infrastruktur Tahap IV Tahun 2023 Seri B,SMII,2026-12-14T07:00:00,idAAA,600000000000.0
554,SMBRIS02SB,Sukuk Mudharabah Subordinasi Jangka Menengah PT Bank Syariah Indonesia Tbk Tahun 2023,BRIS,2028-12-15T07:00:00,idAA(sy),200000000000.0
556,SMFP01SOCN1,Obligasi Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap I Tahun 2023,SMFP,2028-12-22T07:00:00,idAAA,500000000000.0
557,IIFF02CCN1,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap I Tahun 2023 Seri C,IIFF,2028-12-22T07:00:00,idAAA,94331000000.0
558,IIFF02BCN1,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap I Tahun 2023 Seri B,IIFF,2026-12-22T07:00:00,idAAA,245060000000.0
559,SKSMFP01SOCN1,Sukuk Musyarakah Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap I Tahun 2023,SMFP,2028-12-22T07:00:00,idAAA(sy),200000000000.0
571,IIFFPBGN,Surat Berharga Perpetual Berwawasan Lingkungan Indonesia Infrastructure Finance Tahun 2023,IIFF,2029-01-09T07:00:00,idAAA,335190000000.0
585,SMFP07BCN3,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap III Tahun 2024 Seri B,SMFP,2027-02-06T07:00:00,idAAA,212000000000.0
586,PPGD05BCN5,Obligasi Berkelanjutan V Pegadaian Tahap V Tahun 2024 Seri B,PPGD,2027-02-06T07:00:00,idAAA,201190000000.0
596,PNMP05BCN2,Obligasi Berkelanjutan V PNM Tahap II Tahun 2024 Seri B,PNMP,2027-03-20T07:00:00,idAAA,341030000000.0
597,BBRI01CGNCN3,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap III Tahun 2024 Seri C,BBRI,2027-03-20T07:00:00,idAAA,382905000000.0
599,TPR-BBRI03XXJP,LTN Yang Dilakukan Tanpa Melalui Penawaran Umum PT Bank Rakyat Indonesia (Persero) Tbk III Tahun 2024,BBRI,2037-02-26T07:00:00,,55920357750.0
600,TPR-SMBRIS01X2JP,Sukuk Mudharabah Muqayadah Jangka Panjang Yang Dilakukan Tanpa Melalui Penawaran Umum I PT Bank BSI Tbk Tahun 2023 Tahap II,BRIS,2036-06-26T07:00:00,,7761611519.0
602,SMFP07BCN4,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap IV Tahun 2024 Seri B,SMFP,2027-03-27T07:00:00,idAAA,300000000000.0
604,SMFP01SOCN2,Obligasi Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap II Tahun 2024,SMFP,2029-03-27T07:00:00,idAAA,1500000000000.0
649,SMBRIS01CCN1,Sukuk Mudharabah Berlandaskan Keberlanjutan Berkelanjutan I Bank BSI Tahap I Tahun 2024 Seri C,BRIS,2027-06-14T07:00:00,idAAA(sy),1080000000000.0
663,SMFP07BCN5,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap V Tahun 2024 Seri B,SMFP,2027-06-26T07:00:00,idAAA,184500000000.0
665,SMFP01SOCN3,Obligasi Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap III Tahun 2024,SMFP,2029-06-26T07:00:00,idAAA,2000000000000.0
675,SMSMII03BCN1,Sukuk Mudharabah Berkelanjutan III Sarana Multi Infrastruktur Tahap I Tahun 2024 Seri B,SMII,2027-07-05T07:00:00,idAAA(sy),60100000000.0
676,PPGD01BSOCN1,Obligasi Berwawasan Sosial Berkelanjutan I Pegadaian Tahap I Tahun 2024 Seri B,PPGD,2027-07-05T07:00:00,idAAA,30055000000.0
679,SMII04CCN1,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap I Tahun 2024 Seri C,SMII,2029-07-05T07:00:00,idAAA,357000000000.0
