IssuerCode,n_bonds,total_outstanding_triliun,priority_tier,batch,green_name_hint,social_name_hint,sample_bond_names
PIHC,2,1.232,3,6,,,Obligasi Berkelanjutan II Pupuk Indonesia Tahap I Tahun 2020 | Obligasi Berkelanjutan II Pupuk Indonesia Tahap II Tahun 202
PYFA,3,1.22,3,6,,,Obligasi Berkelanjutan I Pyridam Farma Tahap III Tahun 2024 | Obligasi Berkelanjutan I Pyridam Farma Tahap I Tahun 2022
NMVC-M,5,1.2,3,6,,,MTN IV PT PNM Venture Capital Tahun 2024 | Medium Term Notes V PT PNM Venture Capital Tahun 2024 Tahap 
TDPM,5,1.123,3,6,,,Obligasi II Tridomain Performance Materials Tahun 2019 | Obligasi I Tridomain Performance Materials Tahun 2018
SMMF,4,1.114,3,6,,,Obligasi Berkelanjutan III Sinar Mas Multifinance Tahap I Ta | Obligasi Berkelanjutan III Sinar Mas Multifinance Tahap II T
ADCP,4,1.101,3,6,,,Obligasi III Adhi Commuter Properti Tahun 2023 Seri A | Obligasi III Adhi Commuter Properti Tahun 2023 Seri B
BRIF,3,1.003,3,6,,,Obligasi II BRI Finance Tahun 2023 Seri B | Obligasi Berkelanjutan I BRI Finance Tahap I Tahun 2025 Seri
HRTA,3,1.0,3,6,,,Obligasi Berkelanjutan II Hartadinata Abadi Tahap II Tahun 2 | Obligasi Berkelanjutan II Hartadinata Abadi Tahap I Tahun 20
INET,4,1.0,3,6,,,Obligasi I Sinergi Inti Andalan Prima Tahun 2026 Seri B | Sukuk Ijarah I Sinergi Inti Andalan Prima Tahun 2026 Seri A
ABLS-M,1,1.0,3,6,,,MTN Asian Bulk Logistics I Tahun 2022
PTPN-M,2,0.9,3,6,,,MTN III PTPN III Tahun 2019 Seri B | MTN III PTPN III Tahun 2019 Seri A
SGRO,6,0.88,3,6,,,Obligasi Berkelanjutan II Sampoerna Agro Tahap I Tahun 2025  | Sukuk Ijarah Berkelanjutan II Sampoerna Agro Tahap I Tahun 2
WKTY-M,2,0.845,3,6,,,MTN VIII Wika Realty Tahun 2019 | MTN IX Wika Realty Tahun 2019
PIKI,1,0.8,3,6,,,Obligasi I Pelindo IV Tahun 2018 Seri C
PPIC-M,2,0.8,3,6,,,MTN Pan Pacific Investama I Tahun 2022 | MTN Pan Pacific Investama II Tahun 2022
BWPT,13,0.789,3,6,,,Sukuk Mudharabah Berkelanjutan I Eagle High Plantations Taha | Obligasi Berkelanjutan I Eagle High Plantations Tahap II Tah
