issuer,folder,pdf_filename,title_gss,ml_pred,ml_class,confidence,top_env,top_soc,needs_review,sector_keys,framing_body,framing_title,pdf_full_path
BBIA,20240620_BBIA_Penyampaian Bukti Iklan In_ca4d62,20240620_BBIA_Penyampaian Bukti Iklan_31663295_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240620_BBIA_Penyampaian Bukti Iklan In_ca4d62\20240620_BBIA_Penyampaian Bukti Iklan_31663295_lamp1.pdf
ADHI,20240621_ADHI_Penyampaian Prospektus,20240621_ADHI_Penyampaian Prospektus_Informasi Tambahan_31663323_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240621_ADHI_Penyampaian Prospektus\20240621_ADHI_Penyampaian Prospektus_Informasi Tambahan_31663323_lamp1.pdf
ADHI,20240622_ADHI_Penyampaian Bukti Iklan Pr_dc93d7,20240622_ADHI_Penyampaian Bukti Iklan_31663900_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240622_ADHI_Penyampaian Bukti Iklan Pr_dc93d7\20240622_ADHI_Penyampaian Bukti Iklan_31663900_lamp1.pdf
WOMF,20240624_WOMF_Penyampaian Bukti Iklan La_c4fde6,20240624_WOMF_Penyampaian Bukti Iklan_31674111_lamp2.pdf,False,NonGSS,obligasi_biasa,0.6600,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240624_WOMF_Penyampaian Bukti Iklan La_c4fde6\20240624_WOMF_Penyampaian Bukti Iklan_31674111_lamp2.pdf
WOMF,20240624_WOMF_Penyampaian Prospektus,20240624_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674099_lamp1.pdf,False,NonGSS,obligasi_biasa,0.6600,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240624_WOMF_Penyampaian Prospektus\20240624_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674099_lamp1.pdf
WOMF,20240624_WOMF_Penyampaian Prospektus,20240624_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674099_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240624_WOMF_Penyampaian Prospektus\20240624_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674099_lamp2.pdf
WOMF,20240625_WOMF_Penyampaian Prospektus,20240625_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674568_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240625_WOMF_Penyampaian Prospektus\20240625_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674568_lamp1.pdf
WOMF,20240625_WOMF_Penyampaian Prospektus,20240625_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674568_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240625_WOMF_Penyampaian Prospektus\20240625_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674568_lamp2.pdf
BIIF,20240626_BIIF_Penyampaian Bukti Iklan Pe_42f891,20240626_BIIF_Penyampaian Bukti Iklan_31675715_lamp3.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240626_BIIF_Penyampaian Bukti Iklan Pe_42f891\20240626_BIIF_Penyampaian Bukti Iklan_31675715_lamp3.pdf
CNAF,20240628_CNAF_Penyampaian Prospektus,20240628_CNAF_Penyampaian Prospektus_Informasi Tambahan_31676982_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8400,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240628_CNAF_Penyampaian Prospektus\20240628_CNAF_Penyampaian Prospektus_Informasi Tambahan_31676982_lamp2.pdf
